R0,100,,,,,,,,,,,,,9.82E-15,,9.82E-15,,
,カウンタ変数,出力電圧,V,V_R0,V_U,I_U,R0(計算),誤差,7.32E-05,,,6.97E-05,,,9.82E-15,9.82E-15,9.82E-15,
,0,0,0.007324,0,0.007324,0,0,-100,,,,,,,,,,
,1,0.1,0.096436,0.007324,0.089111,0.00007324218 ,99.99702357,-0.002976427,,,,,a,b,,,,
,2,0.2,0.197754,0.019531,0.178223,0.000195,100.1589744,0.158974359,,,,最小二乗法,0.00999947 ,0.00000006 ,,,,
,3,0.3,0.297852,0.026855,0.270996,0.000269,99.83271375,-0.167286245,,,,1/a,100.0052984,,,,,
,4,0.4,0.39917,0.037842,0.361328,0.000378,100.1111111,0.111111111,,,,,,,,,,
,5,0.5,0.498047,0.046387,0.45166,0.000464,99.97198276,-0.028017241,,,,,,,,,,
,6,0.6,0.595703,0.05249,0.543213,0.000525,99.98095238,-0.019047619,,,,,,,,,,
,7,0.7,0.697021,0.063477,0.633545,0.000635,99.96377953,-0.036220472,,,,,,,,,,
,8,0.8,0.797119,0.073242,0.723877,0.000732,100.057377,0.057377049,,,,,,,,,,
,9,0.9,0.897217,0.084229,0.812988,0.000842,100.0344418,0.034441805,,,,,,,,,,
,10,1,0.996094,0.091553,0.904541,0.000916,99.94868996,-0.051310044,,,,,,,,,,
,11,1.1,1.096191,0.101318,0.994873,0.001013,100.017769,0.017769003,,,,,,,,,,
,12,1.2,1.195068,0.108643,1.086426,0.001086,100.0395948,0.039594843,,,,,,,,,,
,13,1.3,1.297607,0.12207,1.175537,0.001221,99.97542998,-0.024570025,,,,,,,,,,
,14,1.4,1.396484,0.128174,1.26831,0.001282,99.97971919,-0.020280811,,,,,,,,,,
,15,1.5,1.496582,0.13916,1.357422,0.001392,99.97126437,-0.028735632,,,,,,,,,,
,16,1.6,1.5979,0.150146,1.447754,0.001501,100.0306462,0.030646236,,,,,,,,,,
,17,1.7,1.696777,0.157471,1.539306,0.001575,99.9815873,-0.018412698,,,,,,,,,,
,18,1.8,1.795654,0.164795,1.630859,0.001648,99.99696602,-0.003033981,,,,,,,,,,
,19,1.9,1.895752,0.174561,1.721191,0.001746,99.97766323,-0.02233677,,,,,,,,,,
,20,2,1.994629,0.183105,1.811523,0.001831,100.0027307,0.002730748,,,,,,,,,,
,21,2.1,2.094726,0.192871,1.901855,0.001929,99.9849663,-0.015033696,,,,,,,,,,
,22,2.2,2.194824,0.202637,1.992187,0.002026,100.0182626,0.018262586,,,,,,,,,,
,23,2.3,2.294922,0.211182,2.08374,0.002112,99.99147727,-0.008522727,,,,,,,,,,
,24,2.4,2.395019,0.220947,2.174072,0.002209,100.0212766,0.021276596,,,,,,,,,,
,25,2.5,2.495117,0.230713,2.264404,0.002307,100.005635,0.005635024,,,,,,,,,,
,26,2.6,2.593994,0.238037,2.355957,0.00238,100.0155462,0.015546218,,,,,,,,,,
,27,2.7,2.694092,0.247803,2.446289,0.002478,100.0012107,0.001210654,,,,,,,,,,
,28,2.8,2.794189,0.257568,2.536621,0.002576,99.98757764,-0.01242236,,,,,,,,,,
,29,2.9,2.894287,0.266113,2.628174,0.002661,100.0048854,0.004885381,,,,,,,,,,
,30,3,2.995605,0.2771,2.718506,0.002771,100,0,,,,,,,,,,
,31,3.1,3.094482,0.285645,2.808838,0.002856,100.0157563,0.015756303,,,,,,,,,,
,32,3.2,3.193359,0.29541,2.897949,0.002954,100.0033852,0.00338524,,,,,,,,,,
,33,3.3,3.293457,0.302734,2.990722,0.003027,100.0112322,0.011232243,,,,,,,,,,
,34,3.4,3.393554,0.3125,3.081054,0.003125,100,0,,,,,,,,,,
,35,3.5,3.492431,0.321045,3.171386,0.00321,100.0140187,0.014018692,,,,,,,,,,
,36,3.6,3.59497,0.333252,3.261718,0.003333,99.98559856,-0.01440144,,,,,,,,,,
,37,3.7,3.693847,0.339355,3.354492,0.003394,99.98674131,-0.013258692,,,,,,,,,,
,38,3.8,3.793945,0.349121,3.444824,0.003491,100.0060155,0.006015468,,,,,,,,,,
,39,3.9,3.894043,0.358887,3.535156,0.003589,99.99637782,-0.003622179,,,,,,,,,,
,40,4,3.99292,0.367432,3.625488,0.003674,100.0087099,0.008709853,,,,,,,,,,
,41,4.1,4.091796,0.374756,3.717041,0.003748,99.98826041,-0.011739594,,,,,,,,,,
,42,4.2,4.193115,0.385742,3.807373,0.003857,100.0108893,0.010889292,,,,,,,,,,
,43,4.3,4.274902,0.390625,3.884277,0.003906,100.0064004,0.00640041,,,,,,,,,,
,44,4.4,4.272461,0.391846,3.880615,0.003918,100.0117407,0.011740684,,,,,,,,,,
,45,4.5,4.270019,0.390625,3.879394,0.003906,100.0064004,0.00640041,,,,,,,,,,
,46,4.6,4.268798,0.390625,3.878173,0.003906,100.0064004,0.00640041,,,,,,,,,,
,47,4.7,4.266357,0.390625,3.875732,0.003906,100.0064004,0.00640041,,,,,,,,,,
,48,4.8,4.266357,0.391846,3.874511,0.003918,100.0117407,0.011740684,,,,,SQRT(1/)*SQRT(SUM(\overline{X_{i}}^{2})),,,,,
,49,4.9,4.263916,0.390625,3.873291,0.003906,100.0064004,0.00640041,,,,,,,,,,
,50,5,4.262695,0.389404,3.873291,0.003894,100.0010272,0.001027221,,,,,,,,,,